Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,9,0.9099999999999999,0.61,0.43594766964240267
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.462832710912965
75% Corpus,9,0.9099999999999999,symmetric,0.35698552078748047
75% Corpus,9,symmetric,0.01,0.37776609895413304
75% Corpus,9,symmetric,0.31,0.41090702989289546
75% Corpus,9,symmetric,0.61,0.39646399787020087
75% Corpus,9,symmetric,0.9099999999999999,0.389397994049247
75% Corpus,9,symmetric,symmetric,0.37412430572976046
75% Corpus,9,asymmetric,0.01,0.4320864318169995
75% Corpus,9,asymmetric,0.31,0.4433576514132475
75% Corpus,9,asymmetric,0.61,0.46042393261160647
75% Corpus,9,asymmetric,0.9099999999999999,0.4257542730258891
75% Corpus,9,asymmetric,symmetric,0.4550378601743195
75% Corpus,10,0.01,0.01,0.3659206386725599
75% Corpus,10,0.01,0.31,0.40695330535575386
75% Corpus,10,0.01,0.61,0.4037225183011535
75% Corpus,10,0.01,0.9099999999999999,0.3960729679926864
75% Corpus,10,0.01,symmetric,0.3921924063940481
75% Corpus,10,0.31,0.01,0.39854845620653223
75% Corpus,10,0.31,0.31,0.37569958622680677
75% Corpus,10,0.31,0.61,0.4051438214109221
75% Corpus,10,0.31,0.9099999999999999,0.45247120148387915
75% Corpus,10,0.31,symmetric,0.3885856981160444
75% Corpus,10,0.61,0.01,0.41743311830826163
75% Corpus,10,0.61,0.31,0.4253018219499163
75% Corpus,10,0.61,0.61,0.5197577391258237
75% Corpus,10,0.61,0.9099999999999999,0.5349212208053487
75% Corpus,10,0.61,symmetric,0.423569861459839
75% Corpus,10,0.9099999999999999,0.01,0.39518338047123935
75% Corpus,10,0.9099999999999999,0.31,0.4758318699274334
75% Corpus,10,0.9099999999999999,0.61,0.5159093706269116
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.5222836267957668
75% Corpus,10,0.9099999999999999,symmetric,0.4253169586814428
75% Corpus,10,symmetric,0.01,0.36230110241591484
75% Corpus,10,symmetric,0.31,0.40567146574250684
75% Corpus,10,symmetric,0.61,0.41300611045441193
75% Corpus,10,symmetric,0.9099999999999999,0.40623543073985946
75% Corpus,10,symmetric,symmetric,0.376586203754009
75% Corpus,10,asymmetric,0.01,0.38346090751032313
75% Corpus,10,asymmetric,0.31,0.3814696866417856
75% Corpus,10,asymmetric,0.61,0.389732250731585
75% Corpus,10,asymmetric,0.9099999999999999,0.45718457129753914
75% Corpus,10,asymmetric,symmetric,0.39866611097766524
100% Corpus,2,0.01,0.01,0.38278335451328255
100% Corpus,2,0.01,0.31,0.37770325141095984
100% Corpus,2,0.01,0.61,0.3863669519562454
100% Corpus,2,0.01,0.9099999999999999,0.38496183385308475
100% Corpus,2,0.01,symmetric,0.3863669519562454
100% Corpus,2,0.31,0.01,0.39047964025376125
100% Corpus,2,0.31,0.31,0.3866215415429666
100% Corpus,2,0.31,0.61,0.3800456501164657
100% Corpus,2,0.31,0.9099999999999999,0.37097492541984867
100% Corpus,2,0.31,symmetric,0.3762557033814926
100% Corpus,2,0.61,0.01,0.360276298077757
100% Corpus,2,0.61,0.31,0.37184957099956417
100% Corpus,2,0.61,0.61,0.3762557033814926
100% Corpus,2,0.61,0.9099999999999999,0.3921879379904375
100% Corpus,2,0.61,symmetric,0.3762557033814926
100% Corpus,2,0.9099999999999999,0.01,0.3602762980777571
100% Corpus,2,0.9099999999999999,0.31,0.37184957099956417
100% Corpus,2,0.9099999999999999,0.61,0.37262137952244584
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.38602012893725357
100% Corpus,2,0.9099999999999999,symmetric,0.37184957099956417
100% Corpus,2,symmetric,0.01,0.39047964025376125
100% Corpus,2,symmetric,0.31,0.39047964025376125
100% Corpus,2,symmetric,0.61,0.3762557033814926
100% Corpus,2,symmetric,0.9099999999999999,0.3800456501164657
100% Corpus,2,symmetric,symmetric,0.3866215415429666
100% Corpus,2,asymmetric,0.01,0.3909500102147384
100% Corpus,2,asymmetric,0.31,0.3909500102147384
100% Corpus,2,asymmetric,0.61,0.3909500102147384
100% Corpus,2,asymmetric,0.9099999999999999,0.40016610846140444
100% Corpus,2,asymmetric,symmetric,0.3909500102147384
100% Corpus,3,0.01,0.01,0.3706626166487486
100% Corpus,3,0.01,0.31,0.37001058239384393
100% Corpus,3,0.01,0.61,0.34809845177800564
100% Corpus,3,0.01,0.9099999999999999,0.3536061941467838
100% Corpus,3,0.01,symmetric,0.37001058239384393
100% Corpus,3,0.31,0.01,0.3746340929777456
100% Corpus,3,0.31,0.31,0.356905412297261
100% Corpus,3,0.31,0.61,0.3535513371567814
100% Corpus,3,0.31,0.9099999999999999,0.3535513371567814
100% Corpus,3,0.31,symmetric,0.356905412297261
100% Corpus,3,0.61,0.01,0.3603746629830474
100% Corpus,3,0.61,0.31,0.3728590416806988
100% Corpus,3,0.61,0.61,0.36328293792893135
100% Corpus,3,0.61,0.9099999999999999,0.3643894463410389
100% Corpus,3,0.61,symmetric,0.3680512177769583
100% Corpus,3,0.9099999999999999,0.01,0.3642955685944857
100% Corpus,3,0.9099999999999999,0.31,0.3701411029327681
100% Corpus,3,0.9099999999999999,0.61,0.34169757270121187
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.3518174573787089
100% Corpus,3,0.9099999999999999,symmetric,0.3701411029327681
100% Corpus,3,symmetric,0.01,0.37463409297774547
100% Corpus,3,symmetric,0.31,0.3497700184374038
100% Corpus,3,symmetric,0.61,0.3535513371567814
100% Corpus,3,symmetric,0.9099999999999999,0.3535513371567814
100% Corpus,3,symmetric,symmetric,0.356905412297261
100% Corpus,3,asymmetric,0.01,0.3638107198940001
100% Corpus,3,asymmetric,0.31,0.35742318051835104
100% Corpus,3,asymmetric,0.61,0.37447867749135105
100% Corpus,3,asymmetric,0.9099999999999999,0.3565685974760622
100% Corpus,3,asymmetric,symmetric,0.3532279691476778
100% Corpus,4,0.01,0.01,0.35645594758938515
100% Corpus,4,0.01,0.31,0.359947660240558
100% Corpus,4,0.01,0.61,0.3309838850565522
100% Corpus,4,0.01,0.9099999999999999,0.3358716182113317
100% Corpus,4,0.01,symmetric,0.3579971002041663
100% Corpus,4,0.31,0.01,0.3571014496717819
100% Corpus,4,0.31,0.31,0.3553373354113266
100% Corpus,4,0.31,0.61,0.35266972779681904
100% Corpus,4,0.31,0.9099999999999999,0.3325909440089453
100% Corpus,4,0.31,symmetric,0.35458506993815975
100% Corpus,4,0.61,0.01,0.35567300298787174
100% Corpus,4,0.61,0.31,0.35609249521660563
100% Corpus,4,0.61,0.61,0.3557705136174413
100% Corpus,4,0.61,0.9099999999999999,0.3560920037430562
100% Corpus,4,0.61,symmetric,0.3560924952166057
100% Corpus,4,0.9099999999999999,0.01,0.351555890032775
100% Corpus,4,0.9099999999999999,0.31,0.35877042700083345
100% Corpus,4,0.9099999999999999,0.61,0.3554174714346181
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.357342718156557
100% Corpus,4,0.9099999999999999,symmetric,0.35877042700083345
100% Corpus,4,symmetric,0.01,0.35106765607213697
100% Corpus,4,symmetric,0.31,0.3535051515477291
100% Corpus,4,symmetric,0.61,0.3449312584121659
100% Corpus,4,symmetric,0.9099999999999999,0.32958288074559805
100% Corpus,4,symmetric,symmetric,0.3509231758139728
100% Corpus,4,asymmetric,0.01,0.34444723100270414
100% Corpus,4,asymmetric,0.31,0.34517311030193254
100% Corpus,4,asymmetric,0.61,0.31744493300315424
100% Corpus,4,asymmetric,0.9099999999999999,0.3323350552428762
100% Corpus,4,asymmetric,symmetric,0.34517311030193254
100% Corpus,5,0.01,0.01,0.3902042292031652
100% Corpus,5,0.01,0.31,0.3993138324504759
100% Corpus,5,0.01,0.61,0.4041850432895096
100% Corpus,5,0.01,0.9099999999999999,0.378570523621112
100% Corpus,5,0.01,symmetric,0.397421434841441
100% Corpus,5,0.31,0.01,0.38691015122412126
100% Corpus,5,0.31,0.31,0.37764060119956455
100% Corpus,5,0.31,0.61,0.383965925426026
100% Corpus,5,0.31,0.9099999999999999,0.3789261994090779
100% Corpus,5,0.31,symmetric,0.3778909308626985
100% Corpus,5,0.61,0.01,0.39071447370064316
100% Corpus,5,0.61,0.31,0.3852044818507091
100% Corpus,5,0.61,0.61,0.3537259023317709
100% Corpus,5,0.61,0.9099999999999999,0.34797513570490085
100% Corpus,5,0.61,symmetric,0.38524810897181816
100% Corpus,5,0.9099999999999999,0.01,0.38877440100839616
100% Corpus,5,0.9099999999999999,0.31,0.3829754186942303
100% Corpus,5,0.9099999999999999,0.61,0.3677120691311709
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.34196639224451364
100% Corpus,5,0.9099999999999999,symmetric,0.3808236159663324
100% Corpus,5,symmetric,0.01,0.395102307445433
100% Corpus,5,symmetric,0.31,0.4011619948678319
100% Corpus,5,symmetric,0.61,0.39390127719452545
100% Corpus,5,symmetric,0.9099999999999999,0.4044585901802413
100% Corpus,5,symmetric,symmetric,0.39975426610487297
100% Corpus,5,asymmetric,0.01,0.348917977771713
100% Corpus,5,asymmetric,0.31,0.38080688876381297
100% Corpus,5,asymmetric,0.61,0.3858622838167582
100% Corpus,5,asymmetric,0.9099999999999999,0.35467175606409324
100% Corpus,5,asymmetric,symmetric,0.35329113371110127
100% Corpus,6,0.01,0.01,0.3837498929000461
100% Corpus,6,0.01,0.31,0.3909848196589949
100% Corpus,6,0.01,0.61,0.39386595336108415
100% Corpus,6,0.01,0.9099999999999999,0.3911186921025887
100% Corpus,6,0.01,symmetric,0.38073005678101524
100% Corpus,6,0.31,0.01,0.37332402024405603
100% Corpus,6,0.31,0.31,0.39552374874107904
100% Corpus,6,0.31,0.61,0.39073727417742027
100% Corpus,6,0.31,0.9099999999999999,0.3635505249746209
100% Corpus,6,0.31,symmetric,0.3955305072547071
100% Corpus,6,0.61,0.01,0.38080976965770885
100% Corpus,6,0.61,0.31,0.3865752048801587
100% Corpus,6,0.61,0.61,0.3695426300675992
100% Corpus,6,0.61,0.9099999999999999,0.3381271329481983
100% Corpus,6,0.61,symmetric,0.3863270573325244
100% Corpus,6,0.9099999999999999,0.01,0.3766607929649622
100% Corpus,6,0.9099999999999999,0.31,0.38701220173582646
100% Corpus,6,0.9099999999999999,0.61,0.37950411778695997
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.36313901430098644
100% Corpus,6,0.9099999999999999,symmetric,0.4017164275146617
100% Corpus,6,symmetric,0.01,0.3783170598526738
100% Corpus,6,symmetric,0.31,0.3921847116761346
100% Corpus,6,symmetric,0.61,0.3910726208788036
100% Corpus,6,symmetric,0.9099999999999999,0.4032887669148056
100% Corpus,6,symmetric,symmetric,0.3951548710007697
100% Corpus,6,asymmetric,0.01,0.3739613673093149
100% Corpus,6,asymmetric,0.31,0.3680562380705736
100% Corpus,6,asymmetric,0.61,0.36392802336082647
100% Corpus,6,asymmetric,0.9099999999999999,0.3822780847782901
100% Corpus,6,asymmetric,symmetric,0.37510544261007067
100% Corpus,7,0.01,0.01,0.38304135250136345
100% Corpus,7,0.01,0.31,0.37809241804356736
100% Corpus,7,0.01,0.61,0.38280442685640936
100% Corpus,7,0.01,0.9099999999999999,0.3979495362896359
100% Corpus,7,0.01,symmetric,0.39121711519590313
100% Corpus,7,0.31,0.01,0.37404824610487797
100% Corpus,7,0.31,0.31,0.36782630990976556
100% Corpus,7,0.31,0.61,0.35818732128648684
100% Corpus,7,0.31,0.9099999999999999,0.37950718841982484
100% Corpus,7,0.31,symmetric,0.37753149532223906
100% Corpus,7,0.61,0.01,0.36015076220314385
100% Corpus,7,0.61,0.31,0.3668252009192859
100% Corpus,7,0.61,0.61,0.33991136452526083
100% Corpus,7,0.61,0.9099999999999999,0.33443215381409125
100% Corpus,7,0.61,symmetric,0.35855299677827074
100% Corpus,7,0.9099999999999999,0.01,0.3736436451900049
100% Corpus,7,0.9099999999999999,0.31,0.35113375494854526
100% Corpus,7,0.9099999999999999,0.61,0.3386715825956918
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.3428461573580834
100% Corpus,7,0.9099999999999999,symmetric,0.3656055221517941
100% Corpus,7,symmetric,0.01,0.37320552647277966
100% Corpus,7,symmetric,0.31,0.38453689703453764
100% Corpus,7,symmetric,0.61,0.37297549843523037
100% Corpus,7,symmetric,0.9099999999999999,0.3875380667843947
100% Corpus,7,symmetric,symmetric,0.37654262332508465
100% Corpus,7,asymmetric,0.01,0.37544713375731636
100% Corpus,7,asymmetric,0.31,0.35254361297268905
100% Corpus,7,asymmetric,0.61,0.3403112951670072
100% Corpus,7,asymmetric,0.9099999999999999,0.3443944022247041
100% Corpus,7,asymmetric,symmetric,0.35068412172611
100% Corpus,8,0.01,0.01,0.3693712532117186
100% Corpus,8,0.01,0.31,0.42700326829265683
100% Corpus,8,0.01,0.61,0.42536362502273556
100% Corpus,8,0.01,0.9099999999999999,0.41243875512192385
100% Corpus,8,0.01,symmetric,0.3993371843776127
100% Corpus,8,0.31,0.01,0.38677415498540796
100% Corpus,8,0.31,0.31,0.4060735462150617
100% Corpus,8,0.31,0.61,0.3995953648676118
100% Corpus,8,0.31,0.9099999999999999,0.4013192586378154
100% Corpus,8,0.31,symmetric,0.38602692457558346
100% Corpus,8,0.61,0.01,0.3861390603455934
100% Corpus,8,0.61,0.31,0.42003896649917216
100% Corpus,8,0.61,0.61,0.3995809156847637
100% Corpus,8,0.61,0.9099999999999999,0.3941736265608835
100% Corpus,8,0.61,symmetric,0.4025764747383374
100% Corpus,8,0.9099999999999999,0.01,0.38141905887166094
100% Corpus,8,0.9099999999999999,0.31,0.41187648235832636
100% Corpus,8,0.9099999999999999,0.61,0.4022712080162616
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.4445745549113442
100% Corpus,8,0.9099999999999999,symmetric,0.38393276417339034
100% Corpus,8,symmetric,0.01,0.35908625367328156
100% Corpus,8,symmetric,0.31,0.40813206159070947
100% Corpus,8,symmetric,0.61,0.42846619869918146
100% Corpus,8,symmetric,0.9099999999999999,0.4214499935049033
100% Corpus,8,symmetric,symmetric,0.37040525684127057
100% Corpus,8,asymmetric,0.01,0.3655781872966293
100% Corpus,8,asymmetric,0.31,0.38310989047045607
100% Corpus,8,asymmetric,0.61,0.38741676044651185
100% Corpus,8,asymmetric,0.9099999999999999,0.42041370479239304
100% Corpus,8,asymmetric,symmetric,0.3868683714473517
100% Corpus,9,0.01,0.01,0.3850483178564427
100% Corpus,9,0.01,0.31,0.40013799702831293
100% Corpus,9,0.01,0.61,0.3963437056178124
100% Corpus,9,0.01,0.9099999999999999,0.40287869445173063
100% Corpus,9,0.01,symmetric,0.40667177490559636
100% Corpus,9,0.31,0.01,0.3793257098368349
100% Corpus,9,0.31,0.31,0.36544616350749903
100% Corpus,9,0.31,0.61,0.4024061371060022
100% Corpus,9,0.31,0.9099999999999999,0.3931082381186472
